바코드,제품명,구매가,판매가,카테고리,국가,매장시음 판매가,포도품종,테이크아웃 판매가,메모,입고가,수입사,생성일,수량
8809495031832,Joseph Phelps Innisfree Cabernet Sauvignon 2017,0,0,U.S.A - Red,U.S.A,,Cabernet Sauvignon,,이니스프리 나파밸리 까베르네 쇼비뇽 2017,,,2022-02-28 16:34:39,0
2088020466646,Joseph Phelps Insignia 2018,0,850000,U.S.A - Red,U.S.A,850000,Blend,,조셉 펠프스 인시그니아 나파밸리 이스테이트 글로운 레드와인 2018,,,2022-02-28 14:15:41,2
081584013174,Kendall-Jackson Vintner's Reserve Cabernet Sauvignon 2019,0,75000,U.S.A - Red,U.S.A,75000,Cabernet Sauvignon,,캔달잭슨 빈트너스 리저브 카베르네 소비뇽,,,2022-04-01 20:48:31,3
081584013105,Kendall-Jackson Vintner's Reserve Chardonnay 2020,0,75000,U.S.A - White,U.S.A,75000,Chardonnay,,캔달잭슨 빈트너스 리저브 샤르도네,,,2022-04-01 20:45:10,1
850786006198,Koval Single Barrel Bourbon Whisky,0,0,Whisky,Whisky,,,,코발 싱글 배럴 버번 위스키,,,2022-06-01 19:37:01,1
3258064099370,Krug Grande Cuvee Brut Champagne 169EME Edition,0,590000,France - Sparkling,France,590000,Blend,,크루그 그랑 퀴베 169 에디션,,,2022-03-01 17:27:57,5
8435300631517,La Bestia Monastrell 2018,0,80000,Spain - Red,Spain,80000,,,라 베스티아 모나스트렐 2018,,,2022-07-28 16:10:27,4
8022252211715,La Spinetta Biancospino Moscato d'Asti 2021,0,58000,Italy - White,Italy,58000,Muscat Blanc,40000,비앙코 스피노 모스카토 다스티 2021,30000,,2022-03-15 17:50:28,0
7798126080251,Laura Catena Luca Chardonnay 2019,0,85000,Argentina - White,Argentina,85000,Chardonnay,,로라 까데나 루카 샤도네이 2019,,,2022-05-02 17:04:41,1
3258431220000,Laurent-Perrier la Cuvee Brut Champagne,0,0,France - Sparkling,France,,Blend,,로랑페리에 라 뀌베 브륏,,,2022-03-01 17:24:17,0
8005068002234,Le Contesse Cuvee Extra Dry,0,0,Italy - Sparkling,Italy,,Prosecco,,르 꼰떼쎄 스푸만테 퀴베 엑스트라 드라이,,,2022-02-28 17:06:53,4
7800582409979,Leroy Bourgogne Blanc 2016,0,0,France - White,France,,Blend,,매종 르로이 부르고뉴 블랑 2016,,,2022-03-01 16:52:44,0
3700026430719,Les Deesses Muettes Pinot Noir Saint-Guilhem-le-Desert 2020,0,55000,France - Red,France,55000,Pinot Noir,,레 데쎄 뮈에트 피노누아 생 길험 2020,,,2022-02-28 16:49:21,3
2066063148088,Lo Sfumato Toscana 2019,0,0,Italy - Red,Italy,,Sangiovese,,,,,2022-09-07 19:16:47,5
